,Player,Times
0,Mee,1
1,Salah,4
2,Burn,3
3,Ronaldo,5
4,Thomas,4
5,Jones,4
6,Johnson,2
7,Ferguson,1
8,Brownhill,1
9,Lingard,1
10,Vardy,1
11,Lukaku,2
12,Thiago,1
13,Wood,1
14,Woodman,1
15,Grealish,1
16,Foden,1
17,Kane,2
18,Steffen,1
19,Lloris,1
