,Name,position,Club,Fifa_ID,Fpl_ID
118,Rob Holding,Defender,Arsenal,228295,14
119,Ademola Lookman,Midfielder,Leicester City,230899,587
120,Joachim Andersen,Defender,Crystal Palace,224221,488
121,Mason Holgate,Defender,Everton,225024,178
122,Milot Rashica,Midfielder,Norwich City,229167,449
123,Romain Perraud,Defender,Southampton,231318,460
124,James Justin,Defender,Leicester City,231554,218
125,Issa Diop,Defender,West Ham,231633,424
126,Daniel James,Midfielder,Leeds United,232104,287
127,Eberechi Eze,Midfielder,Crystal Palace,235794,160
128,Robin Koch,Defender,Leeds United,236532,194
129,Callum Hudson-Odoi,Midfielder,Chelsea,240740,140
130,Patson Daka,Forward,Leicester City,241202,455
131,Illan Meslier,Goalkeeper,Leeds United,242656,199
132,Dwight McNeil,Midfielder,Burnley,243282,118
133,Leander Dendoncker,Midfielder,Wolves,212501,434
134,Josh Brownhill,Midfielder,Burnley,220659,115
135,Ozan Tufan,Midfielder,Watford,223154,557
136,Adam Armstrong,Forward,Southampton,221841,525
137,Pierre Lees-Melou,Midfielder,Norwich City,230020,471
138,Mathias Normann,Midfielder,Norwich City,222404,581
139,Ben White,Defender,Arsenal,231936,67
140,Ozan Kabak,Defender,Norwich City,239890,580
141,Mohammed Salisu,Defender,Southampton,244915,351
142,Stuart Armstrong,Midfielder,Southampton,202282,339
143,Tim Krul,Goalkeeper,Norwich City,170597,314
144,Manuel Lanzini,Midfielder,West Ham,188988,416
145,Salomón Rondón,Forward,Everton,189250,591
146,Juraj Kucka,Midfielder,Watford,190875,495
147,Craig Dawson,Defender,West Ham,194806,414
148,Andros Townsend,Midfielder,Everton,194932,482
149,Leandro Trossard,Midfielder,Brighton,207421,64
150,Bertrand Traoré,Midfielder,Aston Villa,207948,32
151,Joël Veltman,Defender,Brighton,208004,62
152,André Gomes,Midfielder,Everton,211575,172
153,Neal Maupay,Forward,Brighton,211784,63
154,Arthur Masuaku,Defender,West Ham,212491,417
155,Jan Bednarek,Defender,Southampton,220570,343
156,Ryan Bertrand,Defender,Leicester City,169705,473
157,Theo Walcott,Midfielder,Southampton,164859,332
158,Brandon Williams,Defender,Norwich City,243414,290
159,Enock Mwepu,Midfielder,Brighton,243231,462
160,Marc Albrighton,Midfielder,Leicester City,183130,202
161,Jack Cork,Midfielder,Burnley,169706,101
162,Pascal Groß,Midfielder,Brighton,190765,55
163,Luke Ayling,Defender,Leeds United,186156,185
164,Matthew Lowton,Defender,Burnley,199633,110
165,Teemu Pukki,Forward,Norwich City,190362,315
166,Nathan Redmond,Midfielder,Southampton,198719,336
167,Charlie Taylor,Defender,Burnley,204760,113
168,Ryan Fredericks,Defender,West Ham,205346,415
169,Will Hughes,Midfielder,Crystal Palace,206516,386
170,Pablo Marí,Defender,Arsenal,206654,8
171,Morgan Sanson,Midfielder,Aston Villa,210896,34
172,Divock Origi,Forward,Liverpool,213135,235
173,Ivan Toney,Forward,Brentford,212228,78
174,Daniel Amartey,Defender,Leicester City,212883,208
175,Oliver Skipp,Midfielder,Tottenham,241042,373
176,Maxwel Cornet,Midfielder,Burnley,215798,578
177,Ruben Loftus-Cheek,Midfielder,Chelsea,213666,132
178,Demarai Gray,Midfielder,Everton,220633,484
179,Todd Cantwell,Midfielder,Norwich City,225748,325
180,Marvelous Nakamba,Midfielder,Aston Villa,222994,41
181,Connor Roberts,Defender,Burnley,225147,585
182,Kristoffer Ajer,Defender,Brentford,224258,483
183,Kortney Hause,Defender,Aston Villa,210635,36
184,Konstantinos Tsimikas,Defender,Liverpool,232223,245
185,Ainsley Maitland-Niles,Midfielder,Arsenal,225782,13
186,Takehiro Tomiyasu,Defender,Arsenal,232938,590
187,Odsonne Edouard,Forward,Crystal Palace,233866,586
188,Tom Davies,Midfielder,Everton,230005,176
189,Takumi Minamino,Midfielder,Liverpool,226627,236
190,Aaron Ramsdale,Goalkeeper,Arsenal,233934,559
191,Ryan Sessegnon,Defender,Tottenham,235883,368
192,Jean-Philippe Mateta,Forward,Crystal Palace,236461,159
193,Frank Onyeka,Midfielder,Brentford,239529,479
194,Max Aarons,Defender,Norwich City,240060,326
195,Adam Webster,Defender,Brighton,207616,61
196,Christian Benteke,Forward,Crystal Palace,184111,149
197,Adam Lallana,Midfielder,Brighton,180819,53
198,Fraser Forster,Goalkeeper,Southampton,172203,333
199,Fabian Delph,Midfielder,Everton,183427,163
200,Asmir Begović,Goalkeeper,Everton,172723,481
201,James Tomkins,Defender,Crystal Palace,173546,147
202,Joshua King,Forward,Watford,185422,468
203,Christian Kabasele,Defender,Watford,190324,384
204,Alex McCarthy,Goalkeeper,Southampton,189324,334
205,Liam Cooper,Defender,Leeds United,189456,184
206,Ashley Barnes,Forward,Burnley,186905,105
207,Mateusz Klich,Midfielder,Leeds United,192955,186
208,Pontus Jansson,Defender,Brentford,194201,76
209,Nathaniel Clyne,Defender,Crystal Palace,190456,493
210,Jordan Ayew,Forward,Crystal Palace,197756,153
211,Dan Burn,Defender,Brighton,198032,58
212,Nampalys Mendy,Midfielder,Leicester City,198861,203
213,Jeffrey Schlupp,Midfielder,Crystal Palace,200759,155
214,Grant Hanley,Defender,Norwich City,198904,319
215,Mohamed Elyounoussi,Midfielder,Southampton,203362,517
216,Stuart Dallas,Midfielder,Leeds United,203570,188
217,Calum Chambers,Defender,Arsenal,205989,10
218,James McArthur,Midfielder,Crystal Palace,171972,148
219,Christian Nørgaard,Midfielder,Brentford,210697,77
220,Danny Ward,Goalkeeper,Leicester City,207998,204
221,Jonjoe Kenny,Defender,Everton,224263,502
222,Jack Stephens,Defender,Southampton,202697,338
223,Rico Henry,Defender,Brentford,224494,83
224,Adam Masina,Defender,Watford,225410,390
225,Mathias Jensen,Midfielder,Brentford,229723,86
226,Dimitris Giannoulis,Defender,Norwich City,236457,457
227,Axel Tuanzebe,Defender,Aston Villa,231485,283
228,Japhet Tanganga,Defender,Tottenham,236600,371
229,Moussa Djenepo,Midfielder,Southampton,237560,350
230,Malang Sarr,Defender,Chelsea,235454,501
