,Name,position,Club,Fpl_ID,Fifa_ID,id,ep_this,points_per_game,chance_of_playing_this_round,minutes,selected_by_percent,ict_index,clean_sheets,assists,form,value_season,news,news_added,now_cost,soccer_one_ep_this,soccer_one_points_per_game,soccer_one_chance_of_playing_this_round,soccer_one_minutes,soccer_one_selected_by_percent,soccer_one_ict_index,soccer_one_clean_sheets,soccer_one_assists,soccer_one_form,soccer_one_value_season,aggregate
109,Tyrick Mitchell,Defender,Crystal Palace,162,240947,162,2.5,3.12,,630,1.4,20.2,2,0,2.5,4.8,,,4.5,0.2734824939615172,0.022323351656025822,,1.2660749771939983,-0.4111495828932777,0.6101170062889588,0.5479828010551501,-0.36961063547728645,0.31452342198521044,0.5836059733490159,0.20266784336566518
41,Diego Llorente,Defender,Leeds United,190,212602,190,4.3,6.84,100.0,187,0.4,10.2,1,0,3.8,4.56,,2021-09-12T22:30:16.751659Z,4.5,1.2233140870894579,1.6580162093612079,0.3434147975799546,-0.6877219194491735,-0.4998991815252844,-0.31081432395852643,-0.22215518961695283,-0.36961063547728645,1.0352618398225062,0.49362076767325946,0.19024474653565449
10,Ricardo Pereira,Defender,Leicester City,207,210243,207,0.2,3.84,100.0,325,6.6,17.5,1,2,0.2,3.48,,2021-08-28T18:30:11.796475Z,5.5,-0.9401912083686293,0.3389090660505771,0.3434147975799546,-0.07908992907274523,0.05034832999315755,0.36146554712213785,-0.22215518961695283,3.474339973486493,-0.9606291634192361,0.08868734213235603,0.17536425470622233
97,Marc Guéhi,Defender,Crystal Palace,477,241159,477,2.5,3.12,,630,0.8,16.0,2,0,2.5,4.8,,,4.5,0.2734824939615172,0.022323351656025822,,1.2660749771939983,-0.46439934207248174,0.22332584758501506,0.5479828010551501,-0.36961063547728645,0.31452342198521044,0.5836059733490159,0.1712363492311546
68,Kortney Hause,Defender,Aston Villa,36,210635,36,4.0,6.84,,171,0.6,9.8,1,0,4.0,4.68,,,4.4,1.0650088215681346,1.6580162093612079,,-0.7582879473189043,-0.4821492617988831,-0.3476515771684257,-0.22215518961695283,-0.36961063547728645,1.1461446733359366,0.5386133705111377,0.15913774738542602
15,Angelo Ogbonna,Defender,West Ham,409,183855,409,3.7,2.88,100.0,630,0.6,11.0,1,0,3.2,4.08,,2021-08-10T08:00:10.277396Z,5.0,0.9067035560468112,-0.08320521980882473,0.3434147975799546,1.2660749771939983,-0.4821492617988831,-0.23713981753872754,-0.22215518961695283,-0.36961063547728645,0.702613339282216,0.3136503563217469,0.15272835015600372
101,Joel Ward,Defender,Crystal Palace,474,186392,474,2.2,2.76,,630,0.6,19.9,2,0,2.2,4.32,,,4.5,0.11517722844019385,-0.13596950554125,,1.2660749771939983,-0.4821492617988831,0.5824890663815342,0.5479828010551501,-0.36961063547728645,0.14819917171506536,0.4036355619975034,0.14827352885471612
45,Joachim Andersen,Defender,Crystal Palace,488,224221,488,2.5,2.88,,573,1.0,16.7,2,0,2.5,4.56,,,4.5,0.2734824939615172,-0.08320521980882473,,1.0146835029080823,-0.4466494223460804,0.28779104070233896,0.5479828010551501,-0.36961063547728645,0.31452342198521044,0.49362076767325946,0.14518705361809764
21,James Tarkowski,Defender,Burnley,98,202695,98,2.0,2.88,,630,2.8,26.6,1,0,2.0,4.08,,,5.0,0.009640384759311447,-0.08320521980882473,,1.2660749771939983,-0.2869001448084682,1.1995130576473494,-0.22215518961695283,-0.36961063547728645,0.03731633820163513,0.3136503563217469,0.13316599460089348
80,Grant Hanley,Defender,Norwich City,319,198904,319,2.5,2.04,,630,0.2,26.8,1,0,2.5,3.24,,,4.4,0.2734824939615172,-0.4525552199358013,,1.2660749771939983,-0.5176491012516858,1.2179316842522991,-0.22215518961695283,-0.36961063547728645,0.31452342198521044,-0.0012978635434002274,0.10776746911199275
72,Max Aarons,Defender,Norwich City,326,240060,326,2.0,2.04,,630,2.8,29.3,1,0,2.0,3.24,,,4.4,0.009640384759311447,-0.4525552199358013,,1.2660749771939983,-0.2869001448084682,1.4481645168141704,-0.22215518961695283,-0.36961063547728645,0.03731633820163513,-0.0012978635434002274,0.10204836882765758
29,Davinson Sánchez,Defender,Tottenham,367,220793,367,0.5,5.04,100.0,367,3.4,10.1,3,0,0.5,5.64,,2021-09-01T19:00:12.687140Z,4.5,-0.7818859428473058,0.8665519233748294,0.3434147975799546,0.10614589408529815,-0.23365038562926413,-0.32002363726100125,1.318120791727253,-0.36961063547728645,-0.7943049131490908,0.8985541932141631,0.07380800611553928
53,Mohammed Salisu,Defender,Southampton,351,244915,351,1.5,2.52,,593,0.4,23.6,1,0,2.5,3.9599999999999995,,,4.5,-0.25420172444289435,-0.24149807700610038,,1.1028910377452459,-0.4998991815252844,0.9232336585731039,-0.22215518961695283,-0.36961063547728645,0.31452342198521044,0.26865775348386856,0.07299579026563645
31,Cheikhou Kouyaté,Defender,Crystal Palace,150,186801,150,2.0,3.36,,435,1.6,7.6,2,0,2.0,4.56,,,4.5,0.009640384759311447,0.12785192312087618,,0.40605151253165406,-0.39339966316687625,-0.5502564698228726,0.5479828010551501,-0.36961063547728645,0.03731633820163513,0.49362076767325946,0.022085497062489363
28,Ben Mee,Defender,Burnley,106,189682,106,2.5,2.64,,540,1.8,21.0,0,0,2.5,3.24,Ankle injury - 75% chance of playing,2021-10-02T17:30:10.362402Z,4.9,0.2734824939615172,-0.1887337912736751,,0.8691410704267625,-0.37564974344047497,0.6837915127087577,-0.9922931802890557,-0.36961063547728645,0.31452342198521044,-0.0012978635434002274,0.01523952036131109
