,Name,position,Club,Fpl_ID,Fifa_ID,id,ep_this,points_per_game,chance_of_playing_this_round,selected_by_percent,minutes,threat,ict_index,influence,creativity,assists,form,value_season,news,news_added,now_cost,soccer_one_ep_this,soccer_one_points_per_game,soccer_one_chance_of_playing_this_round,soccer_one_selected_by_percent,soccer_one_minutes,soccer_one_threat,soccer_one_ict_index,soccer_one_influence,soccer_one_creativity,soccer_one_assists,soccer_one_form,soccer_one_value_season,aggregate
6,Jordan Henderson,Midfielder,Liverpool,222,183711,222,3.0,3.36,100.0,2.0,457,46.0,25.7,79.0,132.7,1,3.0,4.08,,2021-08-20T13:00:08.010850Z,5.0,0.7074513894178616,0.28508459483312615,0.4136510171658814,-0.23633587591654592,0.695637751205667,-0.3360723233195143,0.31367852925040907,0.31672039396111457,1.0846159864305323,0.7986879383303497,0.7381762236994063,0.7182378111225244,0.34372083976130074
91,James McArthur,Midfielder,Crystal Palace,148,171972,148,1.8,3.12,,7.6,601,47.0,25.4,111.8,95.1,1,1.8,4.68,,,4.6,0.0044634157061065214,0.1480874211146904,,0.33600965554527024,1.3812989505687496,-0.32370373097862787,0.2964494557170387,0.9176376685325547,0.4591684644587308,0.7986879383303497,0.0,1.0158501637976034,0.3146218376745291
27,João Moutinho,Midfielder,Wolves,426,162347,426,3.3,2.88,,1.4,586,16.0,27.5,86.2,173.5,0,2.8,4.08,,,5.0,0.8831983828458002,0.011090247396254414,,-0.29765861143031197,1.3098759089684284,-0.7071300935461073,0.41705297045063117,0.4486290639889917,1.7632930847403596,-0.5539287314226619,0.6151468530828385,0.7182378111225244,0.2879879303872967
103,Curtis Jones,Midfielder,Liverpool,244,242434,244,4.0,6.359999999999999,100.0,0.6,171,44.0,14.3,67.2,31.0,1,4.0,3.84,,2021-08-11T07:00:10.868409Z,5.0,1.293274700844324,1.997549266313574,0.4136510171658814,-0.379422258782,-0.666161575307122,-0.3608095080012872,-0.34102626501766387,0.10053674030431602,-0.6070864865623457,0.7986879383303497,1.353323076782245,0.5991928700524927,0.26260684475767276
16,Rúben Neves,Midfielder,Wolves,436,224293,436,2.3,2.04,,2.2,542,43.0,32.8,103.6,181.1,0,1.8,2.64,,,5.4,0.29737507141933767,-0.46839986061827105,,-0.21589496407862388,1.1003683202741532,-0.3731781003421736,0.7214332695401737,0.7674083498896946,1.8897133285431704,-0.5539287314226619,0.0,0.003968164702334393,0.19805405299419584
89,Mohamed Elyounoussi,Midfielder,Southampton,517,203362,517,1.2,4.08,,0.4,363,216.0,34.6,80.0,49.8,0,2.2,3.7199999999999998,,,5.5,-0.3470305711497711,0.6960761159884339,,-0.399863170619922,0.2480533571769881,1.7665883746311792,0.824807710740396,0.3350410425760975,-0.29436272557644494,-0.5539287314226619,0.24605874123313554,0.5396703995174768,0.1913194089434317
55,Josh Brownhill,Midfielder,Burnley,115,220659,115,1.8,1.92,100.0,6.2,551,79.0,29.3,96.2,116.4,0,1.8,3.0,,2021-09-22T10:00:15.822625Z,4.4,0.0044634157061065214,-0.536898447477489,0.4136510171658814,0.19292327267981624,1.1432221452343458,0.07209122392973799,0.5204274116508533,0.6318355501388211,0.8134778319587143,-0.5539287314226619,0.0,0.18253557630738185,0.1802375166169692
35,John McGinn,Midfielder,Aston Villa,35,210881,35,1.5,3.24,100.0,1.4,489,50.0,25.6,86.4,118.4,0,1.5,3.36,,2021-09-18T19:30:07.276845Z,5.8,-0.17128357772183228,0.2165860079739084,0.4136510171658814,-0.29765861143031197,0.8480069066196854,-0.2865979539559686,0.3079355047392857,0.4522931937119884,0.8467463171699803,-0.5539287314226619,-0.1845440559248516,0.3611029879124293,0.12201931280234578
57,Pierre Lees-Melou,Midfielder,Norwich City,471,230020,471,1.5,2.76,,0.2,511,36.0,21.9,90.6,92.2,1,1.5,3.36,,,5.0,-0.17128357772183228,-0.05740833946296358,,-0.42030408245784395,0.952760700966823,-0.4597582467283786,0.09544359782771801,0.5292399178949164,0.4109291609023952,0.7986879383303497,-0.1845440559248516,0.3611029879124293,0.11592912509617259
92,Christian Nørgaard,Midfielder,Brentford,77,210697,77,1.5,3.24,,2.0,617,46.0,18.3,104.0,32.4,0,2.0,4.56,,,5.0,-0.17128357772183228,0.2165860079739084,,-0.23633587591654592,1.4574835282757588,-0.3360723233195143,-0.11130528457272598,0.7747366093356879,-0.5837985469144595,-0.5539287314226619,0.1230293706165677,0.9563276932625875,0.09596492934979817
11,Phil Foden,Midfielder,Manchester City,265,237692,265,2.8,4.44,100.0,3.8,194,87.0,23.3,59.4,86.1,0,2.8,1.68,,2021-08-07T06:30:07.030165Z,7.9,0.5902867271325689,0.9015718765660878,0.4136510171658814,-0.05236766937524787,-0.5566462448532963,0.17103996265682944,0.1758459409834464,-0.042364318892550934,0.3094602810080336,-0.5539287314226619,0.6151468530828385,-0.4722115995777924,0.09371775590463352
10,Kai Havertz,Midfielder,Chelsea,141,235790,141,2.8,3.5999999999999996,,8.6,304,154.0,23.4,53.0,30.7,0,1.8,2.64,,,8.2,0.5902867271325689,0.4220817685515619,,0.43821421473488026,-0.03287727311760823,0.9997356494962205,0.18158896549456974,-0.15961647002844168,-0.6120767593440355,-0.5539287314226619,0.0,0.003968164702334393,0.07983601601246176
58,Mathias Normann,Midfielder,Norwich City,581,222404,581,2.2,3.5999999999999996,,0.2,227,49.0,19.6,84.2,62.9,1,2.2,2.4,Abdominal injury - 75% chance of playing,2021-10-04T11:30:09.942342Z,4.5,0.23879274027669162,0.4220817685515619,,-0.42030408245784395,-0.39951555333258987,-0.298966546296855,-0.036645965928121124,0.4119877667590259,-0.07645414744265239,0.7986879383303497,0.24605874123313554,-0.11507677636769739,0.0481653677078128
113,Kenny McLean,Midfielder,Norwich City,318,201368,318,2.2,2.4,100.0,0.0,495,90.0,19.6,76.6,28.1,0,2.2,2.88,,2021-09-08T10:00:09.780320Z,4.9,0.23879274027669162,-0.2629041000406173,0.4136510171658814,-0.44074499429576597,0.8765761232598138,0.20814573967948874,-0.036645965928121124,0.2727508372851554,-0.6553257901186814,-0.5539287314226619,0.24605874123313554,0.12301310577236595,0.0268399201791678
2,Raheem Sterling,Midfielder,Manchester City,255,202652,255,1.5,2.52,,2.8,273,214.0,32.6,54.2,56.5,0,1.5,1.68,,,10.7,-0.17128357772183228,-0.19440551318139931,,-0.15457222856485792,-0.1804848924249385,1.7418511899494065,0.709947220517927,-0.1376316916904621,-0.1829133001187037,-0.5539287314226619,-0.1845440559248516,-0.4722115995777924,0.013738926239989614
12,Kalvin Phillips,Midfielder,Leeds United,191,224081,191,2.7,2.4,,3.6,540,17.0,14.9,72.4,58.0,0,2.2,2.88,Calf injury - 75% chance of playing,2021-10-06T12:00:13.423820Z,4.9,0.5317043959899229,-0.2629041000406173,,-0.07280858121316985,1.090845248060777,-0.6947615012052208,-0.3065681179509232,0.1958041131022273,-0.15796193621025414,-0.5539287314226619,0.24605874123313554,0.12301310577236595,0.008655789757223854
